deliverable_id,role,population,dimension,label,source_order,series,quantity,pair,source_file,source_table_id,source_section,source_row_key,source_column_locator,source_value_string,parsed_value,interval_lower_string,parsed_interval_lower,interval_upper_string,parsed_interval_upper,estimate_status,interval_status,original_status_string,interval_method,confidence_level,denominator_string,sample_size,denominator_unit,support_string,support_band,exported_caution,eligible_for_per_label_performance,eligible_for_macro_average,performance_metrics_reportable,unavailable_reason,presentation_note,derivation_id,derivation_operands,row_group,display_percent
Table 3,tabulated,baseline,Research Domains,Data Infrastructure & Methodology,3,performance,f1,,analysis/scratch_coder_results/results.md,S5T009,S5,Data Infrastructure & Methodology; Fable 5 versus labelwise human majority,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,,,,,,,W,W,W/W,,,TP=0; FP=4; FN=0; denominator: precision+recall (source harmonic-mean definition); resulting denominator not separately exported,,,0,RARE,False,False,False,False,Intentionally withheld by the source reporting rule.,,,,Fewer than 10 records (counts only),
Table 3,tabulated,baseline,Research Domains,Education & Skills,4,contingency,tp,,analysis/scratch_coder_results/results.md,S5T003,S5,Education & Skills,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,26,26,,,,,R,N,R/N,,,150 records,150,records,27,LOW SUPPORT,True,True,True,True,,,,,10–29 records (interpret with caution),
Table 3,tabulated,baseline,Research Domains,Education & Skills,4,contingency,fp,,analysis/scratch_coder_results/results.md,S5T003,S5,Education & Skills,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,9,9,,,,,R,N,R/N,,,150 records,150,records,27,LOW SUPPORT,True,True,True,True,,,,,10–29 records (interpret with caution),
Table 3,tabulated,baseline,Research Domains,Education & Skills,4,contingency,fn,,analysis/scratch_coder_results/results.md,S5T003,S5,Education & Skills,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,1,1,,,,,R,N,R/N,,,150 records,150,records,27,LOW SUPPORT,True,True,True,True,,,,,10–29 records (interpret with caution),
Table 3,tabulated,baseline,Research Domains,Education & Skills,4,contingency,tn,,analysis/scratch_coder_results/results.md,S5T003,S5,Education & Skills,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,114,114,,,,,R,N,R/N,,,150 records,150,records,27,LOW SUPPORT,True,True,True,True,,,,,10–29 records (interpret with caution),
Table 3,tabulated,baseline,Research Domains,Education & Skills,4,performance,precision,,analysis/scratch_coder_results/results.md,S5T007,S5,Education & Skills,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.7428571428571429,0.7428571428571429,0.5897058823529412,0.5897058823529412,0.8846153846153846,0.8846153846153846,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,35 model-positive records (precision denominator),35,model-positive,27,LOW SUPPORT,True,True,True,True,,,,,10–29 records (interpret with caution),
Table 3,tabulated,baseline,Research Domains,Education & Skills,4,performance,recall,,analysis/scratch_coder_results/results.md,S5T007,S5,Education & Skills,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.9629629629629629,0.9629629629629629,0.88,0.88,1.0,1.0,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,27 human-majority-positive records (recall denominator),27,human-majority-positive,27,LOW SUPPORT,True,True,True,True,,,,,10–29 records (interpret with caution),
Table 3,tabulated,baseline,Research Domains,Education & Skills,4,performance,f1,,analysis/scratch_coder_results/results.md,S5T007,S5,Education & Skills,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.8387096774193549,0.8387096774193549,0.723404255319149,0.723404255319149,0.923076923076923,0.923076923076923,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,TP=26; FP=9; FN=1; denominator: precision+recall (source harmonic-mean definition); resulting denominator not separately exported,,,27,LOW SUPPORT,True,True,True,True,,,,,10–29 records (interpret with caution),
Table 3,tabulated,baseline,Research Domains,Environment & Agriculture,5,contingency,tp,,analysis/scratch_coder_results/results.md,S5T003,S5,Environment & Agriculture,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,4,4,,,,,R,N,R/N,,,150 records,150,records,4,RARE,False,False,False,False,,,,,Fewer than 10 records (counts only),
Table 3,tabulated,baseline,Research Domains,Environment & Agriculture,5,contingency,fp,,analysis/scratch_coder_results/results.md,S5T003,S5,Environment & Agriculture,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,6,6,,,,,R,N,R/N,,,150 records,150,records,4,RARE,False,False,False,False,,,,,Fewer than 10 records (counts only),
