dataset,dataset_family,projects
Nursing and Midwifery Council Register,,3
Nursing and Midwifery Council Register linked to Census 2021,,3
Office for National,,3
Online Time Use Survey,,3
Over 50s Lifestyle Study,,3
Prices Survey Microdata,,3
RETIRED MoJ Data First Magistrates Court Defendant,Data First,3
Research and Development Expenditures and Subsidies,,3
Understanding Society UKHLS,,3
Working Lives of Teachers and Leaders,,3
Annual Outward Foreign Direct Investment Survey,,2
BHPS,,2
Bespoke Admin Data - Agricultural Research Collection Phase 2,AD|ARC,2
COVID-19 Infection Survey with Combined Vaccination,,2
COVID-19 Study,,2
COVID-19 Vaccine Opinions Survey,,2
COVID-19 Weekly Opinions Survey,,2
Census 1991,Census,2
Census 2011 England,Census,2
Census 2011 and Census 2021 England and Wales,Census,2
Census 2021 Comprehensive Microdata,Census,2
Census 2021 England and Wales,Census,2
Childcare and Early Years Survey of Parents,,2
Children of the 2020s Longitudinal Study,,2
Data given for all available years unless otherwise stated,,2
Death Registrations England and Wales,,2
Death Registrations in England and Wales,Death Registrations,2
Effects of Tax and Benefits,,2
Expenditure and Food Survey,,2
Innovation Panel,,2
International Passenger Survey,,2
Longitudinal Business Structure Database,,2
MoJ Data First Probation Iteration 2,Data First,2
Monthly Inquiry into the Distributive and Services Sector,,2
Monthly Production Inquiry,,2
Northern Ireland Exams Database,,2
Northern Ireland School Census,School Census,2
Northern Ireland School Leavers Survey,,2
ONS Death Registrations,Death Registrations,2
Ofqual/DfE/,,2
Racial Disparity Audit,,2
Standard Extract England,,2
Statutory Homelessness Flows England,,2
Survey of Innovation and Patent Use,,2
Telephone-Operated Crime Survey for England and Wales,,2
The Second Longitudinal Study of Young People in England,,2
UCAS Grading and Admissions,,2
UK Gross Value Added,,2
Understanding Society BHPS,,2
Waves 1-10 and Harmonised BHPS Geography files,,2
2020 Wave 1 Labour Force Survey,Labour Force Survey,1
Annual Acquisition and Disposals of Capital Assets Survey,,1
Annual Business Survey - UK 2008 - 2021,ABS,1
Annual Business Survey 1973 onwards),ABS,1
Annual Business Survey 2005-2022,ABS,1
Annual Business Survey Household,ABS,1
Annual Business Survey in Great Britain,ABS,1
Annual Population Survey (2004-2022 secure access),APS,1
Annual Population Survey (2004-2023 secure access),APS,1
Annual Population Survey 2004-2022,APS,1
Annual Population Survey Persons,APS,1
Annual Respondents Database ARD2,,1
Annual Respondents Database ARDx,,1
Annual Survey for Hours and Earnings / Census linked,ASHE,1
Annual Survey for Hours and Earnings Longitudinal,ASHE,1
Annual Survey of Hours and Earnings (1997-2024),ASHE,1
Annual Survey of Hours and Earnings 1997-2023,ASHE,1
Annual Survey of Hours and Earnings 1997-2024,ASHE,1
Annual Survey of Hours and Earnings linked to Census 2011 England and Wales,ASHE-linked,1
Bespoke - National Council for Voluntary Organisations,,1
Bespoke Admin Data - Agricultural Research Collection Phase 1,AD|ARC,1
Bespoke Admin Data: Agricultural Research Collection,AD|ARC,1
Bespoke Data Tables for Project,,1
Bespoke Equalities Data Asset: Companies House - Census 2011,,1
Bespoke National Council for Voluntary Organisation,,1
Bespoke National Pupil Database extract,,1
Bespoke Refugee Integration Outcomes Cohort Study England,,1
Births and Deaths,,1
British Election Panel Study,,1
British Local Election Database,,1
Business Enterprise,,1
Business Enterprise Research and Development Great Britain,,1
Business Enterprise Research and Development Northern Ireland,,1
Business Expenditure on Research and Development 1995-2023,,1
Business Register,,1
Business Structure Database (1997-2023),,1
Business Structure Database - UK DBT: Longitudinal Small Business Survey,,1
Business Structure Database Scottish Government: Valuation data of Scottish properties,,1
CGIAD 2019-2020,,1
COVID-19 Infection Survey linked to Death Occurrences England and Wales,COVID-19 Infection Survey linked products,1
COVID-19 Infection Survey linked to Mortality,COVID-19 Infection Survey linked products,1
COVID-19 Infection Survey linked to Public Health Research Database,COVID-19 Infection Survey linked products,1
COVID-19 Infection Survey linked to UK Innovation Survey,COVID-19 Infection Survey linked products,1
COVID-19 Infection Survey with National Immunisation Management Service,,1
COVID-19 School Infection Survey linked to NHS Test,,1
COVID-19 Schools Infection Survey linked to National Immunisation Management Service,,1
