field,canonical_entity,source_form_class,distinct_observed_forms,total_occurrences,modal_form_occurrences,minimum_required_relabels,records,changed_occurrences,fragmentation_rank
datasets,Foreign Direct Investment Index,fragmented_observed_forms,2,2,1,1,2,1,122
datasets,Racial Disparity Audit,single_observed_form,1,2,2,0,2,2,
datasets,Growing Up in England Wave 2 Vulnerability Measures,single_observed_form,1,1,1,0,1,0,
datasets,National Travel Survey England,single_observed_form,1,1,1,0,1,0,
datasets,Northern Ireland Annual Business Inquiry,single_observed_form,1,6,6,0,6,0,
datasets,Broad Economy Sales and Exports,fragmented_observed_forms,2,6,5,1,6,6,99
datasets,UK Gross Value Added for lower layer super output areas,single_observed_form,1,1,1,0,1,0,
datasets,MoJ Data First Family Court Data Extract,single_observed_form,1,1,1,0,1,1,
datasets,Skills and Employment Surveys Series,single_observed_form,1,1,1,0,1,1,
datasets,Annual Population Survey Longitudinal,fragmented_observed_forms,3,6,4,2,6,5,82
datasets,Administrative Data | Agricultural Research Collection (AD|ARC),fragmented_observed_forms,3,5,2,3,5,5,72
datasets,NI Annual Business Inquiry,single_observed_form,1,1,1,0,1,0,
datasets,Linked Trade-in-Goods/Inter-Departmental Business Register,fragmented_observed_forms,4,20,14,6,20,16,40
datasets,Research and Development Expenditures and Subsidies,single_observed_form,1,3,3,0,3,0,
datasets,Firm Productivity,single_observed_form,1,3,3,0,3,0,
datasets,Employment Creation and Survival,single_observed_form,1,3,3,0,3,0,
