rank,canonical_value,affected_records,total_occurrences,unique_records,changed_occurrences,n_distinct_raw_variants,existing_match_types,raw_variants,raw_variants_suppressed,suppression_reason
142,Ulster University,0,10,10,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
143,Newcastle University,0,9,9,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
144,University of Glasgow,0,9,9,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
145,Resolution Foundation,0,8,8,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
146,Department for International Trade,0,7,7,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
147,Edinburgh Napier University,0,7,7,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
148,Education Policy Institute,0,6,6,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
149,Centre for Cities,0,5,5,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
150,Innovate UK,0,5,5,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
151,Technopolis,0,5,5,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
152,University of Stirling,0,5,5,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
153,Greater Manchester Combined Authority,0,4,4,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
154,Harvard University,0,4,4,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
155,Nesta,0,4,4,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
156,Brunel University London,0,3,3,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
157,Cabinet Office,0,3,3,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
158,HM Treasury,0,3,3,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
159,Oxford Economics Ltd,0,3,3,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
160,Scottish Government,0,3,3,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
161,The Work Foundation,0,3,3,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
162,University of Brighton,0,3,3,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
163,University of Central Lancashire,0,3,3,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
164,University of Hertfordshire,0,3,3,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
165,Alma Economics,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
166,Anglia Ruskin University Higher Education Corporation,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
167,Cambridge Econometrics,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
168,Digital Health and Care Wales,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
169,Georgetown University,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
170,Glasgow City Council,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
171,Institute of Occupational Medicine,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
172,MIME Consulting Ltd,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
173,Nuffield Family Justice Observatory,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
174,OFSTED,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
175,PA Consulting,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
176,Pro Bono Economics,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
177,Sheffield Hallam University,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
178,Skills Development Scotland,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
179,Tech City UK,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
180,UK Health Security Agency,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
181,UK Research and Innovation,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
182,UK Space Agency,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
183,University of Derby,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
184,University of Hull,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
185,University of Padova,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
186,University of Suffolk,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
187,West Midlands Combined Authority,0,2,2,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
188,AQA Education,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
189,Anna Freud Centre,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
190,BOP Consulting,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
191,Be the Business,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
192,Behavioural Insights Team,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
193,British Psychological Society,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
194,British Sociological Society,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
195,Calver Pang,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
196,Cambridge OCR,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
197,Cambridge Policy Consultants,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
198,Cancer Research UK,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
199,Cardiff and Vale University Health Board,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
200,Columbia University,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
201,Cyber Monitoring Centre,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
202,DASCROSE Limited,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
203,"Department for Culture, Media and Sport",0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
204,Department for the Economy (Northern Ireland),0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
205,Ecorys UK,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
206,Emory University,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
207,Experian,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
208,Federal Reserve Bank of Philadelphia,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
209,Federal Reserve Board of Governors,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
210,Frazer-Nash Consultancy,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
211,Free University of Bozen-Bolzano,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
212,Hackney Council,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
213,Happy City Initiative,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
214,Hardisty Jones Associates,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
215,Home Office,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
216,ICF International,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
217,IFF Research,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
218,IFS,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
219,Ifo Institute for Economic Research,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
220,Incomes Data Research,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
221,Independent Researcher,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
222,Infact Systems Limited,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
223,Institute & Faculty of Actuaries,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
224,Institute of the Motor Industry,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
225,King's Fund,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
226,Knowledge Transfer Network,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
227,Lightcast,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
228,Liverpool City Region Combined Authority,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
229,London Borough of Redbridge,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
230,Marie Curie,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
231,Methods Analytics,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
232,National Infrastructure Commission,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
233,National Institute of Social and Economic Research,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
234,Nevin Economic Research Institute,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
235,New Economics Foundation,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
236,Newcastle City Council,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
237,Nuffield Foundation,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
238,OECD,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
239,OREC,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
240,Office of the Victims' Commissioner for England and Wales,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
241,Oxford Brookes University,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
242,Oxford Economics,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
243,Pearson,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
